[INFO] mapping csv loaded: ./FORGE_DAS_Circulation2023_ChannelMapping.csv
[INFO] y-axis values: Depth (m)
[INFO] data_dir=./data/event_2417
[INFO] num_files=257
[INFO] splits=[(2200, 2605), (2650, 3055), (3100, 3505), (3550, 3955)]
[INFO] win_sec=2.0, stride_sec=1.0
[INFO] done 39/257 | RAW_20230719_043103.860.sgy | split_03_ch3100_3505
[INFO] done 39/257 | RAW_20230719_043103.860.sgy | split_04_ch3550_3955
[INFO] done 40/257 | RAW_20230719_043105.320.sgy | split_01_ch2200_2605
[INFO] done 40/257 | RAW_20230719_043105.320.sgy | split_02_ch2650_3055
[INFO] done 40/257 | RAW_20230719_043105.320.sgy | split_03_ch3100_3505
[INFO] done 40/257 | RAW_20230719_043105.320.sgy | split_04_ch3550_3955
[INFO] done 41/257 | RAW_20230719_043406.020.sgy | split_01_ch2200_2605
[INFO] done 41/257 | RAW_20230719_043406.020.sgy | split_02_ch2650_3055
[INFO] done 41/257 | RAW_20230719_043406.020.sgy | split_03_ch3100_3505
[INFO] done 41/257 | RAW_20230719_043406.020.sgy | split_04_ch3550_3955
[INFO] done 42/257 | RAW_20230719_044426.140.sgy | split_01_ch2200_2605
[INFO] done 42/257 | RAW_20230719_044426.140.sgy | split_02_ch2650_3055
[INFO] done 42/257 | RAW_20230719_044426.140.sgy | split_03_ch3100_3505
[INFO] done 42/257 | RAW_20230719_044426.140.sgy | split_04_ch3550_3955
[INFO] done 43/257 | RAW_20230719_044547.400.sgy | split_01_ch2200_2605
[INFO] done 43/257 | RAW_20230719_044547.400.sgy | split_02_ch2650_3055
[INFO] done 43/257 | RAW_20230719_044547.400.sgy | split_03_ch3100_3505
[INFO] done 43/257 | RAW_20230719_044547.400.sgy | split_04_ch3550_3955
[INFO] done 44/257 | RAW_20230719_050147.540.sgy | split_01_ch2200_2605
[INFO] done 44/257 | RAW_20230719_050147.540.sgy | split_02_ch2650_3055
[INFO] done 44/257 | RAW_20230719_050147.540.sgy | split_03_ch3100_3505
[INFO] done 44/257 | RAW_20230719_050147.540.sgy | split_04_ch3550_3955
[INFO] done 45/257 | RAW_20230719_051004.980.sgy | split_01_ch2200_2605
[INFO] done 45/257 | RAW_20230719_051004.980.sgy | split_02_ch2650_3055
[INFO] done 45/257 | RAW_20230719_051004.980.sgy | split_03_ch3100_3505
[INFO] done 45/257 | RAW_20230719_051004.980.sgy | split_04_ch3550_3955
[INFO] done 46/257 | RAW_20230719_051543.780.sgy | split_01_ch2200_2605
[INFO] done 46/257 | RAW_20230719_051543.780.sgy | split_02_ch2650_3055
[INFO] done 46/257 | RAW_20230719_051543.780.sgy | split_03_ch3100_3505
[INFO] done 46/257 | RAW_20230719_051543.780.sgy | split_04_ch3550_3955
[INFO] done 47/257 | RAW_20230719_051730.040.sgy | split_01_ch2200_2605
[INFO] done 47/257 | RAW_20230719_051730.040.sgy | split_02_ch2650_3055
[INFO] done 47/257 | RAW_20230719_051730.040.sgy | split_03_ch3100_3505
[INFO] done 47/257 | RAW_20230719_051730.040.sgy | split_04_ch3550_3955
[INFO] done 48/257 | RAW_20230719_052359.820.sgy | split_01_ch2200_2605
[INFO] done 48/257 | RAW_20230719_052359.820.sgy | split_02_ch2650_3055
[INFO] done 48/257 | RAW_20230719_052359.820.sgy | split_03_ch3100_3505
[INFO] done 48/257 | RAW_20230719_052359.820.sgy | split_04_ch3550_3955
[INFO] done 49/257 | RAW_20230719_054509.880.sgy | split_01_ch2200_2605
[INFO] done 49/257 | RAW_20230719_054509.880.sgy | split_02_ch2650_3055
[INFO] done 49/257 | RAW_20230719_054509.880.sgy | split_03_ch3100_3505
[INFO] done 49/257 | RAW_20230719_054509.880.sgy | split_04_ch3550_3955
[INFO] done 50/257 | RAW_20230719_055455.600.sgy | split_01_ch2200_2605
[INFO] done 50/257 | RAW_20230719_055455.600.sgy | split_02_ch2650_3055
[INFO] done 50/257 | RAW_20230719_055455.600.sgy | split_03_ch3100_3505
[INFO] done 50/257 | RAW_20230719_055455.600.sgy | split_04_ch3550_3955
[INFO] done 51/257 | RAW_20230719_055501.740.sgy | split_01_ch2200_2605
[INFO] done 51/257 | RAW_20230719_055501.740.sgy | split_02_ch2650_3055
[INFO] done 51/257 | RAW_20230719_055501.740.sgy | split_03_ch3100_3505
[INFO] done 51/257 | RAW_20230719_055501.740.sgy | split_04_ch3550_3955
[INFO] done 52/257 | RAW_20230719_055911.380.sgy | split_01_ch2200_2605
[INFO] done 52/257 | RAW_20230719_055911.380.sgy | split_02_ch2650_3055
[INFO] done 52/257 | RAW_20230719_055911.380.sgy | split_03_ch3100_3505
[INFO] done 52/257 | RAW_20230719_055911.380.sgy | split_04_ch3550_3955
[INFO] done 53/257 | RAW_20230719_060005.780.sgy | split_01_ch2200_2605
[INFO] done 53/257 | RAW_20230719_060005.780.sgy | split_02_ch2650_3055
[INFO] done 53/257 | RAW_20230719_060005.780.sgy | split_03_ch3100_3505
[INFO] done 53/257 | RAW_20230719_060005.780.sgy | split_04_ch3550_3955
[INFO] done 54/257 | RAW_20230719_060022.840.sgy | split_01_ch2200_2605
[INFO] done 54/257 | RAW_20230719_060022.840.sgy | split_02_ch2650_3055
[INFO] done 54/257 | RAW_20230719_060022.840.sgy | split_03_ch3100_3505
[INFO] done 54/257 | RAW_20230719_060022.840.sgy | split_04_ch3550_3955
[INFO] done 55/257 | RAW_20230719_060125.060.sgy | split_01_ch2200_2605
[INFO] done 55/257 | RAW_20230719_060125.060.sgy | split_02_ch2650_3055
[INFO] done 55/257 | RAW_20230719_060125.060.sgy | split_03_ch3100_3505
[INFO] done 55/257 | RAW_20230719_060125.060.sgy | split_04_ch3550_3955
[INFO] done 56/257 | RAW_20230719_061531.020.sgy | split_01_ch2200_2605
[INFO] done 56/257 | RAW_20230719_061531.020.sgy | split_02_ch2650_3055
[INFO] done 56/257 | RAW_20230719_061531.020.sgy | split_03_ch3100_3505
[INFO] done 56/257 | RAW_20230719_061531.020.sgy | split_04_ch3550_3955
[INFO] done 57/257 | RAW_20230719_062035.920.sgy | split_01_ch2200_2605
[INFO] done 57/257 | RAW_20230719_062035.920.sgy | split_02_ch2650_3055
[INFO] done 57/257 | RAW_20230719_062035.920.sgy | split_03_ch3100_3505
[INFO] done 57/257 | RAW_20230719_062035.920.sgy | split_04_ch3550_3955
[INFO] done 58/257 | RAW_20230719_062247.120.sgy | split_01_ch2200_2605
[INFO] done 58/257 | RAW_20230719_062247.120.sgy | split_02_ch2650_3055
[INFO] done 58/257 | RAW_20230719_062247.120.sgy | split_03_ch3100_3505
[INFO] done 58/257 | RAW_20230719_062247.120.sgy | split_04_ch3550_3955
[INFO] done 59/257 | RAW_20230719_064141.680.sgy | split_01_ch2200_2605
[INFO] done 59/257 | RAW_20230719_064141.680.sgy | split_02_ch2650_3055
[INFO] done 59/257 | RAW_20230719_064141.680.sgy | split_03_ch3100_3505
[INFO] done 59/257 | RAW_20230719_064141.680.sgy | split_04_ch3550_3955
[INFO] done 60/257 | RAW_20230719_064205.660.sgy | split_01_ch2200_2605
[INFO] done 60/257 | RAW_20230719_064205.660.sgy | split_02_ch2650_3055
[INFO] done 60/257 | RAW_20230719_064205.660.sgy | split_03_ch3100_3505
[INFO] done 60/257 | RAW_20230719_064205.660.sgy | split_04_ch3550_3955
[INFO] done 61/257 | RAW_20230719_064501.860.sgy | split_01_ch2200_2605
[INFO] done 61/257 | RAW_20230719_064501.860.sgy | split_02_ch2650_3055
[INFO] done 61/257 | RAW_20230719_064501.860.sgy | split_03_ch3100_3505
[INFO] done 61/257 | RAW_20230719_064501.860.sgy | split_04_ch3550_3955
[INFO] done 62/257 | RAW_20230719_064853.660.sgy | split_01_ch2200_2605
[INFO] done 62/257 | RAW_20230719_064853.660.sgy | split_02_ch2650_3055
[INFO] done 62/257 | RAW_20230719_064853.660.sgy | split_03_ch3100_3505
[INFO] done 62/257 | RAW_20230719_064853.660.sgy | split_04_ch3550_3955
[INFO] done 63/257 | RAW_20230719_065306.860.sgy | split_01_ch2200_2605
[INFO] done 63/257 | RAW_20230719_065306.860.sgy | split_02_ch2650_3055
[INFO] done 63/257 | RAW_20230719_065306.860.sgy | split_03_ch3100_3505
[INFO] done 63/257 | RAW_20230719_065306.860.sgy | split_04_ch3550_3955
[INFO] done 64/257 | RAW_20230719_065523.560.sgy | split_01_ch2200_2605
[INFO] done 64/257 | RAW_20230719_065523.560.sgy | split_02_ch2650_3055
[INFO] done 64/257 | RAW_20230719_065523.560.sgy | split_03_ch3100_3505
[INFO] done 64/257 | RAW_20230719_065523.560.sgy | split_04_ch3550_3955
[INFO] done 65/257 | RAW_20230719_065900.780.sgy | split_01_ch2200_2605
[INFO] done 65/257 | RAW_20230719_065900.780.sgy | split_02_ch2650_3055
[INFO] done 65/257 | RAW_20230719_065900.780.sgy | split_03_ch3100_3505
[INFO] done 65/257 | RAW_20230719_065900.780.sgy | split_04_ch3550_3955
[INFO] done 66/257 | RAW_20230719_070140.740.sgy | split_01_ch2200_2605
[INFO] done 66/257 | RAW_20230719_070140.740.sgy | split_02_ch2650_3055
[INFO] done 66/257 | RAW_20230719_070140.740.sgy | split_03_ch3100_3505
[INFO] done 66/257 | RAW_20230719_070140.740.sgy | split_04_ch3550_3955
[INFO] done 67/257 | RAW_20230719_070535.980.sgy | split_01_ch2200_2605
[INFO] done 67/257 | RAW_20230719_070535.980.sgy | split_02_ch2650_3055
[INFO] done 67/257 | RAW_20230719_070535.980.sgy | split_03_ch3100_3505
[INFO] done 67/257 | RAW_20230719_070535.980.sgy | split_04_ch3550_3955
[INFO] done 68/257 | RAW_20230719_071705.740.sgy | split_01_ch2200_2605
[INFO] done 68/257 | RAW_20230719_071705.740.sgy | split_02_ch2650_3055
[INFO] done 68/257 | RAW_20230719_071705.740.sgy | split_03_ch3100_3505
[INFO] done 68/257 | RAW_20230719_071705.740.sgy | split_04_ch3550_3955
[INFO] done 69/257 | RAW_20230719_071903.640.sgy | split_01_ch2200_2605
[INFO] done 69/257 | RAW_20230719_071903.640.sgy | split_02_ch2650_3055
[INFO] done 69/257 | RAW_20230719_071903.640.sgy | split_03_ch3100_3505
[INFO] done 69/257 | RAW_20230719_071903.640.sgy | split_04_ch3550_3955
[INFO] done 70/257 | RAW_20230719_071905.740.sgy | split_01_ch2200_2605
[INFO] done 70/257 | RAW_20230719_071905.740.sgy | split_02_ch2650_3055
[INFO] done 70/257 | RAW_20230719_071905.740.sgy | split_03_ch3100_3505
[INFO] done 70/257 | RAW_20230719_071905.740.sgy | split_04_ch3550_3955
[INFO] done 71/257 | RAW_20230719_072348.880.sgy | split_01_ch2200_2605
[INFO] done 71/257 | RAW_20230719_072348.880.sgy | split_02_ch2650_3055
[INFO] done 71/257 | RAW_20230719_072348.880.sgy | split_03_ch3100_3505
[INFO] done 71/257 | RAW_20230719_072348.880.sgy | split_04_ch3550_3955
[INFO] done 72/257 | RAW_20230719_073441.500.sgy | split_01_ch2200_2605
[INFO] done 72/257 | RAW_20230719_073441.500.sgy | split_02_ch2650_3055
[INFO] done 72/257 | RAW_20230719_073441.500.sgy | split_03_ch3100_3505
[INFO] done 72/257 | RAW_20230719_073441.500.sgy | split_04_ch3550_3955
[INFO] done 73/257 | RAW_20230719_073610.580.sgy | split_01_ch2200_2605
[INFO] done 73/257 | RAW_20230719_073610.580.sgy | split_02_ch2650_3055
[INFO] done 73/257 | RAW_20230719_073610.580.sgy | split_03_ch3100_3505
[INFO] done 73/257 | RAW_20230719_073610.580.sgy | split_04_ch3550_3955
[INFO] done 74/257 | RAW_20230719_073748.660.sgy | split_01_ch2200_2605
[INFO] done 74/257 | RAW_20230719_073748.660.sgy | split_02_ch2650_3055
[INFO] done 74/257 | RAW_20230719_073748.660.sgy | split_03_ch3100_3505
[INFO] done 74/257 | RAW_20230719_073748.660.sgy | split_04_ch3550_3955
[INFO] done 75/257 | RAW_20230719_074647.820.sgy | split_01_ch2200_2605
[INFO] done 75/257 | RAW_20230719_074647.820.sgy | split_02_ch2650_3055
[INFO] done 75/257 | RAW_20230719_074647.820.sgy | split_03_ch3100_3505
[INFO] done 75/257 | RAW_20230719_074647.820.sgy | split_04_ch3550_3955
[INFO] done 76/257 | RAW_20230719_074724.340.sgy | split_01_ch2200_2605
[INFO] done 76/257 | RAW_20230719_074724.340.sgy | split_02_ch2650_3055
[INFO] done 76/257 | RAW_20230719_074724.340.sgy | split_03_ch3100_3505
[INFO] done 76/257 | RAW_20230719_074724.340.sgy | split_04_ch3550_3955
[INFO] done 77/257 | RAW_20230719_074924.900.sgy | split_01_ch2200_2605
[INFO] done 77/257 | RAW_20230719_074924.900.sgy | split_02_ch2650_3055
[INFO] done 77/257 | RAW_20230719_074924.900.sgy | split_03_ch3100_3505
[INFO] done 77/257 | RAW_20230719_074924.900.sgy | split_04_ch3550_3955
[INFO] done 78/257 | RAW_20230719_075003.440.sgy | split_01_ch2200_2605
[INFO] done 78/257 | RAW_20230719_075003.440.sgy | split_02_ch2650_3055
[INFO] done 78/257 | RAW_20230719_075003.440.sgy | split_03_ch3100_3505
[INFO] done 78/257 | RAW_20230719_075003.440.sgy | split_04_ch3550_3955
[INFO] done 79/257 | RAW_20230719_075010.100.sgy | split_01_ch2200_2605
[INFO] done 79/257 | RAW_20230719_075010.100.sgy | split_02_ch2650_3055
[INFO] done 79/257 | RAW_20230719_075010.100.sgy | split_03_ch3100_3505
[INFO] done 79/257 | RAW_20230719_075010.100.sgy | split_04_ch3550_3955
[INFO] done 80/257 | RAW_20230719_075130.920.sgy | split_01_ch2200_2605
[INFO] done 80/257 | RAW_20230719_075130.920.sgy | split_02_ch2650_3055
[INFO] done 80/257 | RAW_20230719_075130.920.sgy | split_03_ch3100_3505
[INFO] done 80/257 | RAW_20230719_075130.920.sgy | split_04_ch3550_3955
[INFO] done 81/257 | RAW_20230719_080627.020.sgy | split_01_ch2200_2605
[INFO] done 81/257 | RAW_20230719_080627.020.sgy | split_02_ch2650_3055
[INFO] done 81/257 | RAW_20230719_080627.020.sgy | split_03_ch3100_3505
[INFO] done 81/257 | RAW_20230719_080627.020.sgy | split_04_ch3550_3955
[INFO] done 82/257 | RAW_20230719_080821.520.sgy | split_01_ch2200_2605
[INFO] done 82/257 | RAW_20230719_080821.520.sgy | split_02_ch2650_3055
[INFO] done 82/257 | RAW_20230719_080821.520.sgy | split_03_ch3100_3505
[INFO] done 82/257 | RAW_20230719_080821.520.sgy | split_04_ch3550_3955
[INFO] done 83/257 | RAW_20230719_080827.020.sgy | split_01_ch2200_2605
