sgy_file,split_name,split_ch_start,split_ch_end,folder,segment_index,png_relpath,sample_start,sample_end,start_sec,end_sec,axis_top,axis_bottom,axis_name
RAW_20230719_032930.400.sgy,split_01_ch4000_4405,4000,4405,0018_RAW_20230719_032930.400,0,split_01_ch4000_4405/0018_RAW_20230719_032930.400/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_032930.400.sgy,split_01_ch4000_4405,4000,4405,0018_RAW_20230719_032930.400,1,split_01_ch4000_4405/0018_RAW_20230719_032930.400/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_032930.400.sgy,split_01_ch4000_4405,4000,4405,0018_RAW_20230719_032930.400,2,split_01_ch4000_4405/0018_RAW_20230719_032930.400/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_032930.400.sgy,split_01_ch4000_4405,4000,4405,0018_RAW_20230719_032930.400,3,split_01_ch4000_4405/0018_RAW_20230719_032930.400/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_032951.960.sgy,split_01_ch4000_4405,4000,4405,0019_RAW_20230719_032951.960,0,split_01_ch4000_4405/0019_RAW_20230719_032951.960/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_032951.960.sgy,split_01_ch4000_4405,4000,4405,0019_RAW_20230719_032951.960,1,split_01_ch4000_4405/0019_RAW_20230719_032951.960/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_032951.960.sgy,split_01_ch4000_4405,4000,4405,0019_RAW_20230719_032951.960,2,split_01_ch4000_4405/0019_RAW_20230719_032951.960/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_032951.960.sgy,split_01_ch4000_4405,4000,4405,0019_RAW_20230719_032951.960,3,split_01_ch4000_4405/0019_RAW_20230719_032951.960/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_034045.220.sgy,split_01_ch4000_4405,4000,4405,0020_RAW_20230719_034045.220,0,split_01_ch4000_4405/0020_RAW_20230719_034045.220/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_034045.220.sgy,split_01_ch4000_4405,4000,4405,0020_RAW_20230719_034045.220,1,split_01_ch4000_4405/0020_RAW_20230719_034045.220/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_034045.220.sgy,split_01_ch4000_4405,4000,4405,0020_RAW_20230719_034045.220,2,split_01_ch4000_4405/0020_RAW_20230719_034045.220/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_034045.220.sgy,split_01_ch4000_4405,4000,4405,0020_RAW_20230719_034045.220,3,split_01_ch4000_4405/0020_RAW_20230719_034045.220/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_034908.440.sgy,split_01_ch4000_4405,4000,4405,0021_RAW_20230719_034908.440,0,split_01_ch4000_4405/0021_RAW_20230719_034908.440/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_034908.440.sgy,split_01_ch4000_4405,4000,4405,0021_RAW_20230719_034908.440,1,split_01_ch4000_4405/0021_RAW_20230719_034908.440/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_034908.440.sgy,split_01_ch4000_4405,4000,4405,0021_RAW_20230719_034908.440,2,split_01_ch4000_4405/0021_RAW_20230719_034908.440/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_034908.440.sgy,split_01_ch4000_4405,4000,4405,0021_RAW_20230719_034908.440,3,split_01_ch4000_4405/0021_RAW_20230719_034908.440/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_034956.660.sgy,split_01_ch4000_4405,4000,4405,0022_RAW_20230719_034956.660,0,split_01_ch4000_4405/0022_RAW_20230719_034956.660/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_034956.660.sgy,split_01_ch4000_4405,4000,4405,0022_RAW_20230719_034956.660,1,split_01_ch4000_4405/0022_RAW_20230719_034956.660/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_034956.660.sgy,split_01_ch4000_4405,4000,4405,0022_RAW_20230719_034956.660,2,split_01_ch4000_4405/0022_RAW_20230719_034956.660/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_034956.660.sgy,split_01_ch4000_4405,4000,4405,0022_RAW_20230719_034956.660,3,split_01_ch4000_4405/0022_RAW_20230719_034956.660/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_035325.460.sgy,split_01_ch4000_4405,4000,4405,0023_RAW_20230719_035325.460,0,split_01_ch4000_4405/0023_RAW_20230719_035325.460/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_035325.460.sgy,split_01_ch4000_4405,4000,4405,0023_RAW_20230719_035325.460,1,split_01_ch4000_4405/0023_RAW_20230719_035325.460/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_035325.460.sgy,split_01_ch4000_4405,4000,4405,0023_RAW_20230719_035325.460,2,split_01_ch4000_4405/0023_RAW_20230719_035325.460/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_035325.460.sgy,split_01_ch4000_4405,4000,4405,0023_RAW_20230719_035325.460,3,split_01_ch4000_4405/0023_RAW_20230719_035325.460/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
RAW_20230719_035436.600.sgy,split_01_ch4000_4405,4000,4405,0024_RAW_20230719_035436.600,0,split_01_ch4000_4405/0024_RAW_20230719_035436.600/seg_000.png,0,2000,0.0,2.0,-1024.2,-610.4,Depth (m)
RAW_20230719_035436.600.sgy,split_01_ch4000_4405,4000,4405,0024_RAW_20230719_035436.600,1,split_01_ch4000_4405/0024_RAW_20230719_035436.600/seg_001.png,1000,3000,1.0,3.0,-1024.2,-610.4,Depth (m)
RAW_20230719_035436.600.sgy,split_01_ch4000_4405,4000,4405,0024_RAW_20230719_035436.600,2,split_01_ch4000_4405/0024_RAW_20230719_035436.600/seg_002.png,2000,4000,2.0,4.0,-1024.2,-610.4,Depth (m)
RAW_20230719_035436.600.sgy,split_01_ch4000_4405,4000,4405,0024_RAW_20230719_035436.600,3,split_01_ch4000_4405/0024_RAW_20230719_035436.600/seg_003.png,3000,5000,3.0,5.0,-1024.2,-610.4,Depth (m)
